trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,9,-111.9545854242006,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-166.12633742308424,"{0: 12, 1: 4, 2: 4, 3: 4, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-202.7852354645393,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-122.0746521523438,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-97.87941174202734,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-139.25923932514866,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-57.16182777079525,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-104.79053381763586,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-132.26729654873066,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-148.9497462587391,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,19,-7.108785600209686,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-157.20204355594274,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-89.0464462213043,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-77.55650178328844,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,7,-15.214509115527104,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-216.97949257661628,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-114.86918554389275,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-64.41233331332134,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,6,-57.543141314645084,"{0: 8, 1: 5, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-209.86464775516913,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,6,-57.642828551876114,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-160.81305223548244,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-171.3852742248619,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-154.6280895166387,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-42.76314913341175,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-51.80961452412252,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-81.5343142131438,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-152.27633872455746,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,10,-88.72480508987576,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-132.7420119414584,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,5,-63.12112489178114,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-115.48657653395355,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-102.1373054723239,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-64.66411775333845,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
