trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.89521459121715,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,10,-13.48028716770018,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.94010220147757,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.29921188965073,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,3,-84.50962271014903,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.40607669222646,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.13409285142143,"{0: 11, 1: 4, 2: 6, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.23643108600581,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.91007412990297,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.83300186157732,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,7,-35.15294637524325,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,7,0.14421129746778338,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.49664638098653,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.56466548388215,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.59847448075423,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.31291117443385,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.22199480648183,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.02525386667372,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.23921143651733,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.5020379714168,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.0872593195797,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.99513601570567,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.50667364668825,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.34523988091581,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.04493081766208,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.76252528428826,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.50430597234444,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,13,-1.3039029707432852,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-69.38684401501507,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.76439294817345,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
